Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Insulin resistance (HP:0000855)	1/26	0.0307554012337484493355699299854677519761025905609130859375	0.056002372395780757041716668709341320209205150604248046875	0.099575636838821368623797525287955068051815032958984375	0.18689581068209548675440601073205471038818359375	-1.2152491402834857	3.5027870005874435	PPARG
Abnormality of the prostate (HP:0008775)	1/15	0.0178557813765849136833363530740825808607041835784912109375	0.049088478241390627598850215917991590686142444610595703125	0.06016014020425360098176525980306905694305896759033203125	0.1675215576874556633324431231812923215329647064208984375	-1.157337231122384	3.4883659456382605	AR
Reduced subcutaneous adipose tissue (HP:0003758)	1/11	0.01312434618687528288527577302602367126382887363433837890625	0.049088478241390627598850215917991590686142444610595703125	0.0454394806187067568092885494479560293257236480712890625	0.1675215576874556633324431231812923215329647064208984375	-1.1551529271472445	3.4817821674646257	PPARG
Abnormality of subcutaneous fat tissue (HP:0001001)	1/17	0.0202133392260660758876777975956429145298898220062255859375	0.049088478241390627598850215917991590686142444610595703125	0.06744216514796401440445805519630084745585918426513671875	0.1675215576874556633324431231812923215329647064208984375	-1.1545278171325346	3.479898004034165	PPARG
Abnormal atrioventricular conduction (HP:0005150)	1/19	0.0225654732029266884285600980319941299967467784881591796875	0.049088478241390627598850215917991590686142444610595703125	0.074672436253644336456858354722498916089534759521484375	0.1675215576874556633324431231812923215329647064208984375	-1.151625449463754	3.4711498878712748	SCN5A
Hyperpituitarism (HP:0010514)	1/31	0.03656504244815490800579738106534932740032672882080078125	0.060989575399299507385553198446359601803123950958251953125	0.11698583389128221210473412838837248273193836212158203125	0.1950163242663256746300959321160917170345783233642578125	-1.2407209975725995	3.4703615503244714	AR
Hyperuricemia (HP:0002149)	1/16	0.0190352390330902586368377882308777770958840847015380859375	0.049088478241390627598850215917991590686142444610595703125	0.06380764289437708403074367424778756685554981231689453125	0.1675215576874556633324431231812923215329647064208984375	-1.1369019719362832	3.4267713988474755	PPARG
Heart block (HP:0012722)	1/18	0.02139008345150605894247064497903920710086822509765625	0.049088478241390627598850215917991590686142444610595703125	0.07106374897240579080470723738471860997378826141357421875	0.1675215576874556633324431231812923215329647064208984375	-1.1341058451077803	3.418343506487376	SCN5A
Abnormality of male internal genitalia (HP:0000022)	1/24	0.0284221569754403713403689835104160010814666748046875	0.054179736734433207867578374816730502061545848846435546875	0.0925238819767175979524864715131116099655628204345703125	0.18206312259934753772228077650652267038822174072265625	-1.1581501750345893	3.3765269606034773	AR
Exocrine pancreatic insufficiency (HP:0001738)	1/19	0.0225654732029266884285600980319941299967467784881591796875	0.049088478241390627598850215917991590686142444610595703125	0.074672436253644336456858354722498916089534759521484375	0.1675215576874556633324431231812923215329647064208984375	-1.1198632841974028	3.3754145631142705	PRSS1
Abnormality of the calf musculature (HP:0001430)	1/18	0.02139008345150605894247064497903920710086822509765625	0.049088478241390627598850215917991590686142444610595703125	0.07106374897240579080470723738471860997378826141357421875	0.1675215576874556633324431231812923215329647064208984375	-1.1193158571912911	3.3737645464428194	AR
Capillary hemangiomas (HP:0005306)	1/14	0.01667496476353151624305581890439498238265514373779296875	0.049088478241390627598850215917991590686142444610595703125	0.056499614946631741829730088966243783943355083465576171875	0.1675215576874556633324431231812923215329647064208984375	-1.1158901308646325	3.3634389587613422	KDR
Insulin-resistant diabetes mellitus (HP:0000831)	1/13	0.015492787693188826703138971652151667512953281402587890625	0.049088478241390627598850215917991590686142444610595703125	0.052826024869070169198703723623111727647483348846435546875	0.1675215576874556633324431231812923215329647064208984375	-1.1144540033221138	3.35911028231493	PPARG
Gingival bleeding (HP:0000225)	1/20	0.0237395099691971069033602503850488574244081974029541015625	0.049088478241390627598850215917991590686142444610595703125	0.07826826875561453122909227886339067481458187103271484375	0.1675215576874556633324431231812923215329647064208984375	-1.111906081042897	3.3514305109639873	F10
Erectile abnormalities (HP:0100639)	1/32	0.03772295916947938920760208247884293086826801300048828125	0.060989575399299507385553198446359601803123950958251953125	0.12043062257503615863907242555796983651816844940185546875	0.1950163242663256746300959321160917170345783233642578125	-1.1975811820543267	3.349697229050305	AR
Steatorrhea (HP:0002570)	1/16	0.0190352390330902586368377882308777770958840847015380859375	0.049088478241390627598850215917991590686142444610595703125	0.06380764289437708403074367424778756685554981231689453125	0.1675215576874556633324431231812923215329647064208984375	-1.1048850322552053	3.3302681506466785	PRSS1
Abnormality of purine metabolism (HP:0004352)	1/24	0.0284221569754403713403689835104160010814666748046875	0.054179736734433207867578374816730502061545848846435546875	0.0925238819767175979524864715131116099655628204345703125	0.18206312259934753772228077650652267038822174072265625	-1.133759338992649	3.3054167390945866	PPARG
Abnormality of nucleobase metabolism (HP:0010932)	1/35	0.041188712776344747756862574306069291196763515472412109375	0.060989575399299507385553198446359601803123950958251953125	0.1306912119313385634011837055368232540786266326904296875	0.1950163242663256746300959321160917170345783233642578125	-1.1761848735336227	3.289850634566611	PPARG
Prenatal maternal abnormality (HP:0002686)	1/31	0.03656504244815490800579738106534932740032672882080078125	0.060989575399299507385553198446359601803123950958251953125	0.11698583389128221210473412838837248273193836212158203125	0.1950163242663256746300959321160917170345783233642578125	-1.1726238744005377	3.2798903336638503	PPARG
Decreased subcutaneous fat (HP:0001002)	1/13	0.015492787693188826703138971652151667512953281402587890625	0.049088478241390627598850215917991590686142444610595703125	0.052826024869070169198703723623111727647483348846435546875	0.1675215576874556633324431231812923215329647064208984375	-1.0880938052980746	3.2796571941098938	PPARG
Venous abnormality (HP:0002624)	1/34	0.04003479286480808585491075746176647953689098358154296875	0.060989575399299507385553198446359601803123950958251953125	0.12728327156623497895537866497761569917201995849609375	0.1950163242663256746300959321160917170345783233642578125	-1.1639895419958495	3.255739654140755	PPARG
Cranial hyperostosis (HP:0004437)	1/36	0.04234130335548459689309908071663812734186649322509765625	0.060989575399299507385553198446359601803123950958251953125	0.1340869493845296689382706745163886807858943939208984375	0.1950163242663256746300959321160917170345783233642578125	-1.162384386590792	3.2512499504838446	CA2
Polygenic inheritance (HP:0010982)	1/15	0.0178557813765849136833363530740825808607041835784912109375	0.049088478241390627598850215917991590686142444610595703125	0.06016014020425360098176525980306905694305896759033203125	0.1675215576874556633324431231812923215329647064208984375	-1.077454767408066	3.2475897409321632	PPARG
Abnormal spermatogenesis (HP:0008669)	1/17	0.0202133392260660758876777975956429145298898220062255859375	0.049088478241390627598850215917991590686142444610595703125	0.06744216514796401440445805519630084745585918426513671875	0.1675215576874556633324431231812923215329647064208984375	-1.0718660837422467	3.230744716632822	AR
Renal tubular acidosis (HP:0001947)	1/18	0.02139008345150605894247064497903920710086822509765625	0.049088478241390627598850215917991590686142444610595703125	0.07106374897240579080470723738471860997378826141357421875	0.1675215576874556633324431231812923215329647064208984375	-1.0689746949884573	3.2220296923571934	CA2
Bulbar palsy (HP:0001283)	1/19	0.0225654732029266884285600980319941299967467784881591796875	0.049088478241390627598850215917991590686142444610595703125	0.074672436253644336456858354722498916089534759521484375	0.1675215576874556633324431231812923215329647064208984375	-1.0642841544837895	3.2078917891401235	AR
Renal tubular dysfunction (HP:0000124)	1/31	0.03656504244815490800579738106534932740032672882080078125	0.060989575399299507385553198446359601803123950958251953125	0.11698583389128221210473412838837248273193836212158203125	0.1950163242663256746300959321160917170345783233642578125	-1.1432892374822436	3.1978398192829816	CA2
Atrioventricular block (HP:0001678)	1/12	0.01430924866783118802604501951236670720390975475311279296875	0.049088478241390627598850215917991590686142444610595703125	0.04913932759282302331627079183817841112613677978515625	0.1675215576874556633324431231812923215329647064208984375	-1.0552150084614818	3.1805561955987685	SCN5A
Female pseudohermaphroditism (HP:0010458)	1/37	0.04349256606343489262034296416459255851805210113525390625	0.060989575399299507385553198446359601803123950958251953125	0.13747052366314760352139501264900900423526763916015625	0.1950163242663256746300959321160917170345783233642578125	-1.1322851643589416	3.16706085097441	AR
Hypolipoproteinemia (HP:0010981)	1/17	0.0202133392260660758876777975956429145298898220062255859375	0.049088478241390627598850215917991590686142444610595703125	0.06744216514796401440445805519630084745585918426513671875	0.1675215576874556633324431231812923215329647064208984375	-1.0462588925652823	3.153561289656623	PPARG
Hypertriglyceridemia (HP:0002155)	1/30	0.035405790521397077774690131946044857613742351531982421875	0.060989575399299507385553198446359601803123950958251953125	0.11352868218008720091471985824682633392512798309326171875	0.1950163242663256746300959321160917170345783233642578125	-1.126553732246517	3.151029735461601	PPARG
Aseptic necrosis (HP:0010885)	1/37	0.04349256606343489262034296416459255851805210113525390625	0.060989575399299507385553198446359601803123950958251953125	0.13747052366314760352139501264900900423526763916015625	0.1950163242663256746300959321160917170345783233642578125	-1.125907594038587	3.1492224530851582	CA2
Fat malabsorption (HP:0002630)	1/21	0.0249121952425034043354656887458986602723598480224609375	0.050654796993090257795078201752403401769697666168212890625	0.08185128811922955105462307301422697491943836212158203125	0.172169950871482846377347186717088334262371063232421875	-1.0551704414212035	3.147279397314355	PRSS1
Abnormality of the level of lipoprotein cholesterol (HP:0010979)	1/22	0.0260835305100045322657109636566019617021083831787109375	0.0513256568100089183293022188081522472202777862548828125	0.08542153586470589698986799476188025437295436859130859375	0.17369045625823531509013264440000057220458984375	-1.0542643878618045	3.1307061199254864	PPARG
Testicular neoplasm (HP:0010788)	1/16	0.0190352390330902586368377882308777770958840847015380859375	0.049088478241390627598850215917991590686142444610595703125	0.06380764289437708403074367424778756685554981231689453125	0.1675215576874556633324431231812923215329647064208984375	-1.0384287583560972	3.129960239944769	AR
Hepatosplenomegaly (HP:0001433)	1/25	0.0295894511398328528828383099380516796372830867767333984375	0.054695652106963761618363406569187645800411701202392578125	0.0960560627803560274085015180389746092259883880615234375	0.183106869675053685053711660657427273690700531005859375	-1.0708933724668595	3.1119851475296687	CA2
Multifactorial inheritance (HP:0001426)	1/28	0.033083275141865452206868525308891548775136470794677734375	0.05849506619286355679765421200499986298382282257080078125	0.10657712826908745384901777697450597770512104034423828125	0.1912119066004216161314133159976336173713207244873046875	-1.095608293387048	3.1102269203325785	PPARG
Male pseudohermaphroditism (HP:0000037)	1/36	0.04234130335548459689309908071663812734186649322509765625	0.060989575399299507385553198446359601803123950958251953125	0.1340869493845296689382706745163886807858943939208984375	0.1950163242663256746300959321160917170345783233642578125	-1.1044091730690981	3.08909024473923	AR
Atrial fibrillation (HP:0005110)	1/32	0.03772295916947938920760208247884293086826801300048828125	0.060989575399299507385553198446359601803123950958251953125	0.12043062257503615863907242555796983651816844940185546875	0.1950163242663256746300959321160917170345783233642578125	-1.1021241176615977	3.0826988252000547	SCN5A
Anal atresia (HP:0002023)	1/39	0.04579111372302070714912503035520785488188266754150390625	0.06207239860231696104708731809296295978128910064697265625	0.1442013410542318518903215363025083206593990325927734375	0.197669254029396446181721103130257688462734222412109375	-1.107312807556764	3.077724852539081	PRSS1
Stroke (HP:0001297)	1/33	0.038879542149260488959061632385783013887703418731689453125	0.060989575399299507385553198446359601803123950958251953125	0.12386308843823508329951010864533600397408008575439453125	0.1950163242663256746300959321160917170345783233642578125	-1.0994671008724881	3.075267010213823	SCN5A
Supraventricular tachycardia (HP:0004755)	1/36	0.04234130335548459689309908071663812734186649322509765625	0.060989575399299507385553198446359601803123950958251953125	0.1340869493845296689382706745163886807858943939208984375	0.1950163242663256746300959321160917170345783233642578125	-1.0915081574626673	3.053005429048768	SCN5A
Abnormality of the basal ganglia (HP:0002134)	1/38	0.04464250236725024467698830221706884913146495819091796875	0.0618907419182332940721380509785376489162445068359375	0.1408419743836150928029127271656761877238750457763671875	0.19750253879081658414662570066866464912891387939453125	-1.0966257533905683	3.051234691114412	CA2
Abnormality of the common coagulation pathway (HP:0010990)	1/17	0.0202133392260660758876777975956429145298898220062255859375	0.049088478241390627598850215917991590686142444610595703125	0.06744216514796401440445805519630084745585918426513671875	0.1675215576874556633324431231812923215329647064208984375	-1.0113130400997485	3.048229914838719	F10
Hypoalphalipoproteinemia (HP:0003233)	1/10	0.01193807874747087292843783501439247629605233669281005859375	0.049088478241390627598850215917991590686142444610595703125	0.041726441321217201674276253697826177813112735748291015625	0.1675215576874556633324431231812923215329647064208984375	-1.004749496646326	3.0284465355004153	PPARG
Primary atrial arrhythmia (HP:0001692)	1/35	0.041188712776344747756862574306069291196763515472412109375	0.060989575399299507385553198446359601803123950958251953125	0.1306912119313385634011837055368232540786266326904296875	0.1950163242663256746300959321160917170345783233642578125	-1.080583196666531	3.0224477420587923	SCN5A
Basal ganglia calcification (HP:0002135)	1/20	0.0237395099691971069033602503850488574244081974029541015625	0.049088478241390627598850215917991590686142444610595703125	0.07826826875561453122909227886339067481458187103271484375	0.1675215576874556633324431231812923215329647064208984375	-1.0002853666309472	3.0149910631421584	CA2
Paralysis (HP:0003470)	1/15	0.0178557813765849136833363530740825808607041835784912109375	0.049088478241390627598850215917991590686142444610595703125	0.06016014020425360098176525980306905694305896759033203125	0.1675215576874556633324431231812923215329647064208984375	-0.9935511488233186	2.994693248953756	CA2
Abnormality of the pleura (HP:0002103)	1/39	0.04579111372302070714912503035520785488188266754150390625	0.06207239860231696104708731809296295978128910064697265625	0.1442013410542318518903215363025083206593990325927734375	0.197669254029396446181721103130257688462734222412109375	-1.0756521888062156	2.9897256236758927	PRSS1
Supraventricular arrhythmia (HP:0005115)	1/37	0.04349256606343489262034296416459255851805210113525390625	0.060989575399299507385553198446359601803123950958251953125	0.13747052366314760352139501264900900423526763916015625	0.1950163242663256746300959321160917170345783233642578125	-1.0597491550082363	2.964173837409594	SCN5A
Hypoproteinemia (HP:0003075)	1/11	0.01312434618687528288527577302602367126382887363433837890625	0.049088478241390627598850215917991590686142444610595703125	0.0454394806187067568092885494479560293257236480712890625	0.1675215576874556633324431231812923215329647064208984375	-0.9811322058394578	2.9572609287788403	PRSS1
Left ventricular hypertrophy (HP:0001712)	1/42	0.049229012729150090077467893934226594865322113037109375	0.0652819516625685880573115582592436112463474273681640625	0.1542073300415975622978947967567364685237407684326171875	0.2067394974184054989851944128531613387167453765869140625	-1.0835051105233733	2.9569284314128637	SCN5A
Bone pain (HP:0002653)	1/41	0.04808436744954976138632929405503091402351856231689453125	0.06446475636093484951061327592469751834869384765625	0.1508839796688188628071003449804265983402729034423828125	0.204531616884398914635312394239008426666259765625	-1.0756492836285152	2.9490394636127983	CA2
Fasciculations (HP:0002380)	1/34	0.04003479286480808585491075746176647953689098358154296875	0.060989575399299507385553198446359601803123950958251953125	0.12728327156623497895537866497761569917201995849609375	0.1950163242663256746300959321160917170345783233642578125	-1.0532895248511758	2.9461059138633354	AR
Infertility (HP:0000789)	1/37	0.04349256606343489262034296416459255851805210113525390625	0.060989575399299507385553198446359601803123950958251953125	0.13747052366314760352139501264900900423526763916015625	0.1950163242663256746300959321160917170345783233642578125	-1.049863209023763	2.9365223292137768	AR
Bradycardia (HP:0001662)	1/20	0.0237395099691971069033602503850488574244081974029541015625	0.049088478241390627598850215917991590686142444610595703125	0.07826826875561453122909227886339067481458187103271484375	0.1675215576874556633324431231812923215329647064208984375	-0.961407023864647	2.8978066476738276	SCN5A
Pancreatitis (HP:0001733)	1/56	0.06511619945491663175030083721139817498624324798583984375	0.08275183680728988300234760799867217428982257843017578125	0.199499436238912253305244348666747100651264190673828125	0.256199276012076759823088423217996023595333099365234375	-1.1459364610940632	2.855569458642538	PRSS1
Abnormality of secondary sexual hair (HP:0009888)	1/11	0.01312434618687528288527577302602367126382887363433837890625	0.049088478241390627598850215917991590686142444610595703125	0.0454394806187067568092885494479560293257236480712890625	0.1675215576874556633324431231812923215329647064208984375	-0.9466144846730256	2.853219997751982	AR
Toxemia of pregnancy (HP:0100603)	1/11	0.01312434618687528288527577302602367126382887363433837890625	0.049088478241390627598850215917991590686142444610595703125	0.0454394806187067568092885494479560293257236480712890625	0.1675215576874556633324431231812923215329647064208984375	-0.9459820269112778	2.851313687249903	PPARG
Muscle hypertrophy of the lower extremities (HP:0008968)	1/9	0.0107504448466008602214305511779457447119057178497314453125	0.049088478241390627598850215917991590686142444610595703125	0.038000166952201479275696982540466706268489360809326171875	0.1675215576874556633324431231812923215329647064208984375	-0.9435371150538931	2.843944402797595	AR
Azoospermia (HP:0000027)	1/13	0.015492787693188826703138971652151667512953281402587890625	0.049088478241390627598850215917991590686142444610595703125	0.052826024869070169198703723623111727647483348846435546875	0.1675215576874556633324431231812923215329647064208984375	-0.9362750831076273	2.822055687688237	AR
Gynecomastia (HP:0000771)	1/52	0.06060315380811474861300069960634573362767696380615234375	0.0786551570701063684776244144813972525298595428466796875	0.1867912233508771391310432363752624951303005218505859375	0.24503794891190333604669149281107820570468902587890625	-1.1040988524902424	2.8073723687182865	AR
Bundle branch block (HP:0011710)	1/10	0.01193807874747087292843783501439247629605233669281005859375	0.049088478241390627598850215917991590686142444610595703125	0.041726441321217201674276253697826177813112735748291015625	0.1675215576874556633324431231812923215329647064208984375	-0.9298414525374955	2.8026638827897634	SCN5A
Vertigo (HP:0002321)	1/43	0.0503723389008907396213743368207360617816448211669921875	0.0660798424291254848927934517632820643484592437744140625	0.1575187532185517713667621819695341400802135467529296875	0.20888356405068819743320318593760021030902862548828125	-1.0248908297697346	2.784517219002967	CALM1
Gonadotropin excess (HP:0000837)	1/9	0.0107504448466008602214305511779457447119057178497314453125	0.049088478241390627598850215917991590686142444610595703125	0.038000166952201479275696982540466706268489360809326171875	0.1675215576874556633324431231812923215329647064208984375	-0.9065684322139038	2.7325159523803775	AR
Genu valgum (HP:0002857)	1/75	0.08627091617529047962165122953592799603939056396484375	0.1042084333998558320910632346567581407725811004638671875	0.257414451950664535662127718751435168087482452392578125	0.314045631379810730177126743001281283795833587646484375	-1.2038731265843976	2.722393203962349	CA2
Dental malocclusion (HP:0000689)	1/81	0.0928554993644337411939915227776509709656238555908203125	0.11106246002412663298475337114723515696823596954345703125	0.274889120654964458356772638580878265202045440673828125	0.332044284355501650995989848524914123117923736572265625	-1.2207308231437324	2.6827543929105877	CA2
Hypospadias (HP:0000047)	1/84	0.0961307145334938939473801156054832972586154937744140625	0.1127687228181370737711830543048563413321971893310546875	0.283484352870770617283113779194536618888378143310546875	0.335777583011980684801756069646216928958892822265625	-1.1990324156380723	2.616787838175327	AR
Abnormality of the axillary hair (HP:0100134)	1/10	0.01193807874747087292843783501439247629605233669281005859375	0.049088478241390627598850215917991590686142444610595703125	0.041726441321217201674276253697826177813112735748291015625	0.1675215576874556633324431231812923215329647064208984375	-0.8549104454655747	2.576812016701799	AR
Carious teeth (HP:0000670)	1/119	0.1335138806246077558537166396490647457540035247802734375	0.1454347628232334488362909041825332678854465484619140625	0.377092326027484381345544761643395759165287017822265625	0.414461835813991819055246423886273987591266632080078125	-1.3234341951911355	2.551617732390933	CA2
Inguinal hernia (HP:0000023)	1/82	0.09394849941109566227037674934763344936072826385498046875	0.11127880512770553511625593046119320206344127655029296875	0.27776464297618452814475631384993903338909149169921875	0.3322282984617108692049214369035325944423675537109375	-1.1506933626966207	2.5265963671892617	AR
Osteopenia (HP:0000938)	1/71	0.08185577423345789804809413681141450069844722747802734375	0.09986404456481863534111909075363655574619770050048828125	0.24555111159377396301550788848544470965862274169921875	0.302598339539802252406985871857614256441593170166015625	-1.0940003675433863	2.5205173029819203	ESR1
Congestive heart failure (HP:0001635)	1/128	0.1428844906365201172793177875064429827034473419189453125	0.1515818074578735019652953042168519459664821624755859375	0.399277987879921691938278627276304177939891815185546875	0.42729749580131970443375166723853908479213714599609375	-1.3189376197822724	2.4883470396519134	SCN5A
Lipoatrophy (HP:0100578)	1/55	0.0639898899715653779463053751896950416266918182373046875	0.08217649027927344251853725154433050192892551422119140625	0.196339565591736431304781262952019460499286651611328125	0.254823691512679195714241586756543256342411041259765625	-0.9919643881183806	2.478805945935915	SCN5A
Polycystic ovaries (HP:0000147)	1/71	0.08185577423345789804809413681141450069844722747802734375	0.09986404456481863534111909075363655574619770050048828125	0.24555111159377396301550788848544470965862274169921875	0.302598339539802252406985871857614256441593170166015625	-1.0732262275403937	2.4726548151020564	PPARG
Prolonged partial thromboplastin time (HP:0003645)	1/11	0.01312434618687528288527577302602367126382887363433837890625	0.049088478241390627598850215917991590686142444610595703125	0.0454394806187067568092885494479560293257236480712890625	0.1675215576874556633324431231812923215329647064208984375	-0.8112496762547299	2.445212741762914	F10
Micropenis (HP:0000054)	1/96	0.1091186093370456189344253061790368519723415374755859375	0.126785431801138714913435023845522664487361907958984375	0.316939622177176139050658321139053441584110260009765625	0.371034449128121668337598748621530830860137939453125	-1.1791462994165989	2.435242666062307	AR
Dilated cardiomyopathy (HP:0001644)	1/65	0.07519470625252910878089096513576805591583251953125	0.09457478518359331565168446331881568767130374908447265625	0.2274300678967472733038590604337514378130435943603515625	0.289025711285449682375059410333051346242427825927734375	-1.0291918823280224	2.427209475315676	SCN5A
Hirsutism (HP:0001007)	1/67	0.077420191328690990406613536833901889622211456298828125	0.09638023818469694525834512432993506081402301788330078125	0.2335142702654046942267740405441145412623882293701171875	0.29369836053999354152921341665205545723438262939453125	-1.024679390307509	2.397190397217826	PPARG
